Ship Mode,Segment,City,State,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Profit_percentage,,Total profit,286397.0217
Second Class,Consumer,Henderson,Kentucky,South,Furniture,Bookcases,261.96,2,0,41.9136,0.014634789,,,
Second Class,Consumer,Henderson,Kentucky,South,Furniture,Chairs,731.94,3,0,219.582,0.07667049,,,
Second Class,Corporate,Los Angeles,California,West,Office Supplies,Labels,14.62,2,0,6.8714,0.002399257,,,
Standard Class,Consumer,Fort Lauderdale,Florida,South,Furniture,Tables,957.5775,5,0.45,-383.031,-0.133741265,,,
Standard Class,Consumer,Fort Lauderdale,Florida,South,Office Supplies,Storage,22.368,2,0.2,2.5164,0.00087864,,,
Standard Class,Consumer,Los Angeles,California,West,Furniture,Furnishings,48.86,7,0,14.1694,0.004947468,,,
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Art,7.28,4,0,1.9656,0.00068632,,,
Standard Class,Consumer,Los Angeles,California,West,Technology,Phones,907.152,6,0.2,90.7152,0.031674631,,,
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Binders,18.504,3,0.2,5.7825,0.00201905,,,
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Appliances,114.9,5,0,34.47,0.01203574,,,
Standard Class,Consumer,Los Angeles,California,West,Furniture,Tables,1706.184,9,0.2,85.3092,0.029787042,,,
Standard Class,Consumer,Los Angeles,California,West,Technology,Phones,911.424,4,0.2,68.3568,0.023867846,,,
Standard Class,Consumer,Concord,North Carolina,South,Office Supplies,Paper,15.552,3,0.2,5.4432,0.001900578,,,
Standard Class,Consumer,Seattle,Washington,West,Office Supplies,Binders,407.976,3,0.2,132.5922,0.046296641,,,
Standard Class,Home Office,Fort Worth,Texas,Central,Office Supplies,Appliances,68.81,5,0.8,-123.858,-0.043246958,,,
Standard Class,Home Office,Fort Worth,Texas,Central,Office Supplies,Binders,2.544,3,0.8,-3.816,-0.001332416,,,
Standard Class,Consumer,Madison,Wisconsin,Central,Office Supplies,Storage,665.88,6,0,13.3176,0.004650048,,,
Second Class,Consumer,West Jordan,Utah,West,Office Supplies,Storage,55.5,2,0,9.99,0.003488165,,,
Second Class,Consumer,San Francisco,California,West,Office Supplies,Art,8.56,2,0,2.4824,0.000866769,,,
Second Class,Consumer,San Francisco,California,West,Technology,Phones,213.48,3,0.2,16.011,0.005590491,,,
Second Class,Consumer,San Francisco,California,West,Office Supplies,Binders,22.72,4,0.2,7.384,0.002578239,,,
Standard Class,Corporate,Fremont,Nebraska,Central,Office Supplies,Art,19.46,7,0,5.0596,0.001766638,,,
Standard Class,Corporate,Fremont,Nebraska,Central,Office Supplies,Appliances,60.34,7,0,15.6884,0.00547785,,,
Second Class,Consumer,Philadelphia,Pennsylvania,East,Furniture,Chairs,71.372,2,0.3,-1.0196,-0.000356009,,,
Standard Class,Consumer,Orem,Utah,West,Furniture,Tables,1044.63,3,0,240.2649,0.083892248,,,
Second Class,Consumer,Los Angeles,California,West,Office Supplies,Binders,11.648,2,0.2,4.2224,0.001474317,,,
Second Class,Consumer,Los Angeles,California,West,Technology,Accessories,90.57,3,0,11.7741,0.004111111,,,
Standard Class,Consumer,Philadelphia,Pennsylvania,East,Furniture,Bookcases,3083.43,7,0.5,-1665.0522,-0.581379021,,,
Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Binders,9.618,2,0.7,-7.0532,-0.002462735,,,
Standard Class,Consumer,Philadelphia,Pennsylvania,East,Furniture,Furnishings,124.2,3,0.2,15.525,0.005420797,,,
Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Envelopes,3.264,2,0.2,1.1016,0.000384641,,,
Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Art,86.304,6,0.2,9.7092,0.003390119,,,
Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Binders,6.858,6,0.7,-5.715,-0.001995482,,,
Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Art,15.76,2,0.2,3.546,0.001238141,,,
Second Class,Home Office,Houston,Texas,Central,Office Supplies,Paper,29.472,3,0.2,9.9468,0.003473081,,,
First Class,Corporate,Richardson,Texas,Central,Technology,Phones,1097.544,7,0.2,123.4737,0.043112774,,,
First Class,Corporate,Richardson,Texas,Central,Furniture,Furnishings,190.92,5,0.6,-147.963,-0.051663596,,,
Standard Class,Home Office,Houston,Texas,Central,Office Supplies,Envelopes,113.328,9,0.2,35.415,0.012365701,,,
Standard Class,Home Office,Houston,Texas,Central,Furniture,Bookcases,532.3992,3,0.32,-46.9764,-0.016402545,,,
Standard Class,Home Office,Houston,Texas,Central,Furniture,Chairs,212.058,3,0.3,-15.147,-0.005288812,,,
Standard Class,Home Office,Houston,Texas,Central,Technology,Phones,371.168,4,0.2,41.7564,0.0145799,,,
Standard Class,Corporate,Naperville,Illinois,Central,Technology,Phones,147.168,4,0.2,16.5564,0.005780926,,,
Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Storage,77.88,2,0,3.894,0.001359651,,,
Standard Class,Corporate,Melbourne,Florida,South,Office Supplies,Storage,95.616,2,0.2,9.5616,0.003338582,,,
First Class,Corporate,Eagan,Minnesota,Central,Technology,Accessories,45.98,2,0,19.7714,0.006903494,,,
First Class,Corporate,Eagan,Minnesota,Central,Office Supplies,Binders,17.46,2,0,8.2062,0.002865323,,,
Second Class,Consumer,Westland,Michigan,Central,Office Supplies,Storage,211.96,4,0,8.4784,0.002960366,,,
Standard Class,Consumer,Dover,Delaware,East,Technology,Accessories,45,3,0,4.95,0.00172837,,,
Standard Class,Consumer,Dover,Delaware,East,Technology,Phones,21.8,2,0,6.104,0.002131307,,,
Standard Class,Consumer,New Albany,Indiana,Central,Office Supplies,Binders,38.22,6,0,17.9634,0.006272202,,,
Standard Class,Consumer,New Albany,Indiana,Central,Office Supplies,Labels,75.18,6,0,35.3346,0.012337628,,,
Standard Class,Consumer,New Albany,Indiana,Central,Furniture,Furnishings,6.16,2,0,2.9568,0.001032413,,,
Standard Class,Consumer,New Albany,Indiana,Central,Furniture,Chairs,89.99,1,0,17.0981,0.005970069,,,
Standard Class,Corporate,New York City,New York,East,Office Supplies,Fasteners,15.26,7,0,6.2566,0.00218459,,,
Standard Class,Corporate,New York City,New York,East,Technology,Phones,1029.95,5,0,298.6855,0.104290714,,,
First Class,Consumer,Troy,New York,East,Office Supplies,Storage,208.56,6,0,52.14,0.018205497,,,
First Class,Consumer,Troy,New York,East,Office Supplies,Paper,32.4,5,0,15.552,0.005430224,,,
First Class,Consumer,Troy,New York,East,Furniture,Chairs,319.41,5,0.1,7.098,0.002478378,,,
First Class,Consumer,Troy,New York,East,Office Supplies,Paper,14.56,2,0,6.9888,0.002440249,,,
First Class,Consumer,Troy,New York,East,Technology,Accessories,30,2,0,3.3,0.001152247,,,
First Class,Consumer,Troy,New York,East,Office Supplies,Binders,48.48,4,0.2,16.362,0.005713048,,,
First Class,Consumer,Troy,New York,East,Office Supplies,Art,1.68,1,0,0.84,0.000293299,,,
Standard Class,Consumer,Los Angeles,California,West,Technology,Accessories,13.98,2,0,6.1512,0.002147788,,,
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Binders,25.824,6,0.2,9.3612,0.003268609,,,
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Paper,146.73,3,0,68.9631,0.024079545,,,
Standard Class,Consumer,Los Angeles,California,West,Furniture,Furnishings,79.76,4,0,22.3328,0.007797846,,,
Standard Class,Home Office,Chicago,Illinois,Central,Furniture,Chairs,213.115,5,0.3,-15.2225,-0.005315174,,,
Standard Class,Corporate,Gilbert,Arizona,West,Office Supplies,Art,1113.024,8,0.2,111.3024,0.038862974,,,
Standard Class,Corporate,Gilbert,Arizona,West,Technology,Phones,167.968,4,0.2,62.988,0.021993245,,,
First Class,Consumer,Springfield,Virginia,South,Office Supplies,Paper,75.88,2,0,35.6636,0.012452504,,,
Standard Class,Consumer,New York City,New York,East,Office Supplies,Binders,4.616,1,0.2,1.731,0.000604406,,,
Second Class,Consumer,Jackson,Michigan,Central,Office Supplies,Paper,19.05,3,0,8.763,0.003059739,,,
Standard Class,Consumer,Memphis,Tennessee,South,Furniture,Chairs,831.936,8,0.2,-114.3912,-0.039941477,,,
Standard Class,Consumer,Memphis,Tennessee,South,Furniture,Furnishings,97.04,2,0.2,1.213,0.000423538,,,
Standard Class,Consumer,Memphis,Tennessee,South,Office Supplies,Storage,72.784,1,0.2,-18.196,-0.006353418,,,
First Class,Corporate,Houston,Texas,Central,Office Supplies,Binders,1.248,3,0.8,-1.9344,-0.000675426,,,
First Class,Corporate,Houston,Texas,Central,Furniture,Furnishings,9.708,3,0.6,-5.8248,-0.00203382,,,
First Class,Corporate,Houston,Texas,Central,Office Supplies,Storage,27.24,3,0.2,2.724,0.000951127,,,
Second Class,Consumer,Houston,Texas,Central,Furniture,Furnishings,19.3,5,0.6,-14.475,-0.005054173,,,
First Class,Corporate,Decatur,Alabama,South,Office Supplies,Appliances,208.16,1,0,56.2032,0.019624226,,,
First Class,Corporate,Decatur,Alabama,South,Office Supplies,Binders,16.74,3,0,8.0352,0.002805616,,,
Standard Class,Consumer,San Francisco,California,West,Office Supplies,Art,14.9,5,0,4.172,0.001456719,,,
Standard Class,Consumer,San Francisco,California,West,Office Supplies,Storage,21.39,1,0,6.2031,0.002165909,,,
Standard Class,Corporate,Durham,North Carolina,South,Office Supplies,Envelopes,200.984,7,0.2,62.8075,0.021930221,,,
First Class,Home Office,Chicago,Illinois,Central,Office Supplies,Storage,230.376,3,0.2,-48.9549,-0.017093369,,,
Second Class,Consumer,Columbia,South Carolina,South,Furniture,Chairs,301.96,2,0,33.2156,0.011597746,,,
Standard Class,Consumer,Rochester,Minnesota,Central,Technology,Accessories,19.99,1,0,6.7966,0.002373139,,,
Standard Class,Consumer,Rochester,Minnesota,Central,Office Supplies,Labels,6.16,2,0,2.9568,0.001032413,,,
Second Class,Home Office,Houston,Texas,Central,Office Supplies,Storage,158.368,7,0.2,13.8572,0.004838458,,,
Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Art,20.1,3,0,6.633,0.002316016,,,
Standard Class,Corporate,Los Angeles,California,West,Technology,Phones,73.584,2,0.2,8.2782,0.002890463,,,
Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Paper,6.48,1,0,3.1104,0.001086045,,,
Second Class,Consumer,Minneapolis,Minnesota,Central,Office Supplies,Paper,12.96,2,0,6.2208,0.00217209,,,
Second Class,Consumer,Minneapolis,Minnesota,Central,Furniture,Furnishings,53.34,3,0,16.5354,0.005773594,,,
Second Class,Consumer,Minneapolis,Minnesota,Central,Office Supplies,Binders,32.96,2,0,16.1504,0.005639165,,,
Standard Class,Home Office,Portland,Oregon,West,Office Supplies,Binders,5.682,1,0.7,-3.788,-0.001322639,,,
Second Class,Home Office,New York City,New York,East,Furniture,Furnishings,96.53,7,0,40.5426,0.014156083,,,
First Class,Consumer,San Francisco,California,West,Office Supplies,Binders,51.312,3,0.2,17.9592,0.006270736,,,
Standard Class,Corporate,Saint Paul,Minnesota,Central,Office Supplies,Appliances,77.88,6,0,22.5852,0.007885976,,,
Standard Class,Home Office,Chicago,Illinois,Central,Office Supplies,Paper,64.624,7,0.2,22.6184,0.007897568,,,
Standard Class,Home Office,Chicago,Illinois,Central,Technology,Accessories,95.976,3,0.2,-10.7973,-0.003770046,,,
Standard Class,Home Office,Chicago,Illinois,Central,Office Supplies,Binders,1.788,3,0.8,-3.0396,-0.001061324,,,
Second Class,Consumer,Rochester,Minnesota,Central,Office Supplies,Paper,23.92,4,0,11.7208,0.004092501,,,
Standard Class,Consumer,Aurora,Colorado,West,Technology,Accessories,238.896,6,0.2,-26.8758,-0.009384106,,,
Standard Class,Consumer,Aurora,Colorado,West,Furniture,Furnishings,102.36,3,0.2,-3.8385,-0.001340272,,,
Standard Class,Consumer,Aurora,Colorado,West,Office Supplies,Binders,36.882,3,0.7,-25.8174,-0.009014549,,,
Standard Class,Consumer,Charlotte,North Carolina,South,Technology,Accessories,74.112,8,0.2,17.6016,0.006145874,,,
Standard Class,Consumer,Charlotte,North Carolina,South,Technology,Phones,27.992,1,0.2,2.0994,0.000733038,,,
Standard Class,Consumer,Charlotte,North Carolina,South,Office Supplies,Art,3.304,1,0.2,1.0738,0.000374934,,,
Standard Class,Home Office,Orland Park,Illinois,Central,Technology,Accessories,339.96,5,0.2,67.992,0.02374047,,,
Standard Class,Corporate,New York City,New York,East,Furniture,Furnishings,41.96,2,0,10.9096,0.003809257,,,
Standard Class,Consumer,Urbandale,Iowa,Central,Office Supplies,Art,75.96,2,0,22.788,0.007956787,,,
Standard Class,Consumer,Urbandale,Iowa,Central,Office Supplies,Binders,27.24,6,0,13.3476,0.004660523,,,
Second Class,Consumer,Columbus,Ohio,East,Office Supplies,Fasteners,40.096,14,0.2,14.5348,0.005075053,,,
Second Class,Consumer,Columbus,Ohio,East,Office Supplies,Envelopes,4.72,2,0.2,1.652,0.000576822,,,
Second Class,Consumer,Columbus,Ohio,East,Office Supplies,Paper,23.976,3,0.2,7.4925,0.002616124,,,
